# Pressure [MeV/fm^3],Energy Density [MeV/fm^3],Number Density [/fm^3]
2.333471329046171147e-09,1.700962453931502842e-05,1.827665934172932074e-08
2.393462833030133104e-09,1.733324863506833252e-05,1.862434863077672425e-08
2.454994363235134811e-09,1.766303031278941519e-05,1.897865224903265188e-08
2.518103377745585397e-09,1.799908673820519218e-05,1.933969602536862569e-08
2.582827820620395872e-09,1.834153730600602587e-05,1.970760818238413770e-08
2.649206471662955205e-09,1.869050368283933558e-05,2.008251938194417675e-08
2.717279453687797590e-09,1.904610985137555483e-05,2.046456277158303182e-08
2.787088937101726609e-09,1.940848215552938409e-05,2.085387403179084606e-08
2.858679846560237510e-09,1.977774934657556104e-05,2.125059142419979578e-08
2.932098511053271013e-09,2.015404262678923133e-05,2.165485584068684848e-08
3.007391155585473649e-09,2.053749569323325236e-05,2.206681085341074865e-08
3.084603858726689562e-09,2.092824478507211209e-05,2.248660276580079385e-08
3.163782638806156879e-09,2.132642873213321552e-05,2.291438066451567871e-08
3.244973650974985524e-09,2.173218900460063740e-05,2.335029647239072702e-08
3.328223528987274627e-09,2.214566976392448575e-05,2.379450500239243797e-08
3.413579911822820616e-09,2.256701791504225844e-05,2.424716401259937819e-08
3.501092203341725956e-09,2.299638316002595274e-05,2.470843426222908011e-08
3.590812621278412619e-09,2.343391805328625177e-05,2.517847956873070628e-08
3.682796781041586104e-09,2.387977805690146208e-05,2.565746686596389114e-08
3.777101026576904065e-09,2.433412159089797886e-05,2.614556626348432731e-08
3.873781142830357644e-09,2.479711008735082240e-05,2.664295110695717629e-08
3.972892418494238819e-09,2.526890804794296248e-05,2.714979803971979362e-08
4.074489803870251111e-09,2.574968310275842063e-05,2.766628706551554989e-08
4.178628244882074249e-09,2.623960607050250789e-05,2.819260161242116092e-08
4.285363248100272994e-09,2.673885102026417741e-05,2.872892859799005941e-08
4.394751743517361641e-09,2.724759533495553620e-05,2.927545849563511482e-08
4.506853325456349990e-09,2.776601977658608110e-05,2.983238540227411719e-08
4.621731948419952396e-09,2.829430855352531066e-05,3.039990710726221175e-08
4.739456324201134355e-09,2.883264938670246653e-05,3.097822516263562325e-08
4.860096644053925041e-09,2.938123356970500174e-05,3.156754495469167070e-08
4.983724238329828147e-09,2.994025603484927827e-05,3.216807577693055634e-08
5.110412505642891211e-09,3.050991542300866222e-05,3.278003090438470374e-08
5.240238071088771907e-09,3.109041415492969996e-05,3.340362766936216447e-08
5.373282128563419357e-09,3.168195850405991943e-05,3.403908753863091389e-08
5.509631844723073556e-09,3.228475867092876468e-05,3.468663619207147848e-08
5.649381693505720546e-09,3.289902885921776814e-05,3.534650360282588659e-08
5.792634664555683327e-09,3.352498735381546680e-05,3.601892411897121902e-08
5.939503306859427728e-09,3.416285660105068044e-05,3.670413654674702158e-08
6.090106918847878962e-09,3.481286328368722995e-05,3.740238423536590167e-08
6.244565205942050478e-09,3.547523839063021554e-05,3.811391516343766977e-08
6.402996435577965421e-09,3.615021729740149900e-05,3.883898202703741951e-08
6.565516571647910986e-09,3.683803985007710441e-05,3.957784232944910529e-08
6.732239103196101428e-09,3.753895045169210724e-05,4.033075847261634769e-08
6.903275633055713896e-09,3.825319815117234464e-05,4.109799785033294545e-08
7.078737205389495113e-09,3.898103673485602043e-05,4.187983294320621408e-08
7.258736351848976324e-09,3.972272482076124190e-05,4.267654141542692006e-08
7.443389881457652465e-09,4.047852595586274611e-05,4.348840621338006909e-08
7.632821924557765574e-09,4.124870871550012706e-05,4.431571566613173993e-08
7.827160584917619953e-09,4.203354679093083382e-05,4.515876358782739374e-08
8.026532957853370714e-09,4.283331907556209550e-05,4.601784938203828635e-08
8.231065241746881050e-09,4.364830976388224168e-05,4.689327814809294196e-08
8.440883176431412571e-09,4.447880845296440106e-05,4.778536078943137464e-08
8.656112783430810773e-09,4.532511024657336258e-05,4.869441412402063723e-08
8.876881533426175944e-09,4.618751586215848122e-05,4.962076099687091274e-08
9.103320084916748634e-09,4.706633174105289482e-05,5.056473039469198522e-08
9.335564763587433593e-09,4.796187016225570381e-05,5.152665756273102559e-08
9.573760982945461593e-09,4.887444936024005115e-05,5.250688412383296542e-08
9.818065883317540651e-09,4.980439364349781598e-05,5.350575819976584353e-08
1.006864061493942974e-08,5.075203349406438570e-05,5.452363453485426429e-08
1.032564552440285917e-08,5.171770567386022049e-05,5.556087462196474893e-08
1.058924035539631894e-08,5.270175334444322622e-05,5.661784683088786569e-08
1.085958466678070380e-08,5.370452618978766414e-05,5.769492653916258771e-08
1.113683873527261973e-08,5.472638054245124661e-05,5.879249626538945194e-08
1.142116509101173289e-08,5.576767951349860704e-05,5.991094580507984074e-08
1.171273086614534774e-08,5.682879312662008346e-05,6.105067236908958731e-08
1.201171117189334665e-08,5.791009845696672723e-05,6.221208072468606626e-08
1.231829374095576106e-08,5.901197977527314879e-05,6.339558333929895572e-08
1.263268021025593481e-08,6.013482868737659020e-05,6.460160052700569181e-08
1.295507429573859517e-08,6.127904424746961442e-05,6.583056059780348927e-08
1.328567791459358082e-08,6.244503309092334182e-05,6.708290000972125200e-08
1.362469143660235876e-08,6.363320957934170681e-05,6.835906352382497441e-08
1.397231436177978424e-08,6.484399594924194392e-05,6.965950436217218083e-08
1.432874960446395467e-08,6.607782246488383448e-05,7.098468436877105528e-08
