ε_c [MeV/fm^3],p_c [MeV/fm^3],R [KM],M [M_sun],Λ,g-cowl [kHz],f-cowl [kHz],p1-cowl [kHz],f-GR [kHz],τ_f [s],p1-GR [kHz],τ_p1 [s]
      366.7003524242,       54.3177534431,       13.2175179776,        1.5596781834,    0.3854118725E+03,                 NaN,        2.0936542544,        6.6076207822,        1.6455432320,        0.2374793108,        6.1595541675,       10.7758261096
      376.7005513052,       58.7002323986,       13.2348380920,        1.6149470297,    0.3136638536E+03,                 NaN,        2.1037492445,        6.6492743636,        1.6606299285,        0.2260665159,        6.1866887162,       10.3702840840
      386.9734632529,       63.3379061426,       13.2484068879,        1.6687064545,    0.2562451993E+03,                 NaN,        2.1132419142,        6.6848038851,        1.6753950535,        0.2161083624,        6.2080734493,       10.0350552668
      397.5265253610,       68.2532794477,       13.2580658610,        1.7209822146,    0.2117295986E+03,                 NaN,        2.1225050445,        6.7150743178,        1.6898911383,        0.2073882756,        6.2242922733,        9.7565696278
      408.3673775386,       73.4539859584,       13.2640288508,        1.7716330046,    0.1754276182E+03,                 NaN,        2.1312512900,        6.7400821350,        1.7041179335,        0.1997553335,        6.2358729174,        9.5276416613
      419.5038680407,       78.9382702949,       13.2660420802,        1.8204624593,    0.1470890693E+03,                 NaN,        2.1398333634,        6.7607785701,        1.7180581993,        0.1930894939,        6.2432353980,        9.3504102379
      430.9440591505,       84.7313021811,       13.2643251943,        1.8675323315,    0.1237433323E+03,                 NaN,        2.1480292117,        6.7774021835,        1.7317612104,        0.1872563886,        6.2468642139,        9.2232294876
      442.6962330157,       90.8264186118,       13.2591432800,        1.9126517340,    0.1049165767E+03,                 NaN,        2.1559947377,        6.7902000498,        1.7451989631,        0.1821735889,        6.2471399860,        9.1432797925
      454.7688976443,       97.2415305765,       13.2504903199,        1.9558480918,    0.8919730558E+02,                 NaN,        2.1636271881,        6.7990441559,        1.7584032067,        0.1777468807,        6.2444449195,        9.1011482611
      467.1707930646,      103.9793417515,       13.2383350924,        1.9970508848,    0.7649163592E+02,                 NaN,        2.1711113129,        6.8058519539,        1.7713729065,        0.1739064762,        6.2391275494,        9.1092974423
      479.9108976518,      111.0488058191,       13.2231906115,        2.0362506102,    0.6615813046E+02,                 NaN,        2.1785194295,        6.8104269290,        1.7841199558,        0.1705871510,        6.2315238894,        9.1679407010
      492.9984346284,      118.4587379990,       13.2049881488,        2.0734496469,    0.5739549277E+02,                 NaN,        2.1857075559,        6.8119702901,        1.7966561472,        0.1677321958,        6.2219145284,        9.2680667099
      506.4428787413,      126.2181269552,       13.1841004251,        2.1086628185,    0.4991537593E+02,                 NaN,        2.1926609577,        6.8110192955,        1.8089948931,        0.1652918764,        6.2105752154,        9.4275916900
      520.2539631207,      134.3349096261,       13.1604678621,        2.1419074751,    0.4382020257E+02,                 NaN,        2.1996463042,        6.8091853307,        1.8211452424,        0.1632230352,        6.1977447437,        9.6388572805
      534.4416863270,      142.8233730776,       13.1342296451,        2.1732362210,    0.3855069964E+02,                 NaN,        2.2064573692,        6.8052636979,        1.8331261434,        0.1614862941,        6.1836386871,        9.9163546696
      549.0163195888,      151.6801780917,       13.1058016635,        2.2026410443,    0.3419209646E+02,                 NaN,        2.2132685015,        6.8008887350,        1.8449335411,        0.1600501937,        6.1684811192,       10.2612528029
      563.9884142392,      160.9246843080,       13.0750000000,        2.2302051979,    0.3043788458E+02,                 NaN,        2.2200239647,        6.7952165812,        1.8565922866,        0.1588827195,        6.1524367585,       10.6906107698
      579.3688093539,      170.5581524309,       13.0424855948,        2.2559533712,    0.2712192426E+02,                 NaN,        2.2266450091,        6.7874112342,        1.8681025208,        0.1579580112,        6.1356778441,       11.2060982135
      595.1686395986,      180.5920714871,       13.0080475676,        2.2799493710,    0.2438557607E+02,                 NaN,        2.2333680795,        6.7802568567,        1.8794791015,        0.1572516038,        6.1183449376,       11.8372600622
      611.3993432901,      191.0368602960,       12.9717966767,        2.3022525372,    0.2199645254E+02,                 NaN,        2.2400455659,        6.7721918448,        1.8907337548,        0.1567420823,        6.1005798761,       12.6028540786
      628.0726706763,      201.9061349929,       12.9339658993,        2.3229297960,    0.1988783445E+02,                 NaN,        2.2467036161,        6.7632897705,        1.9018797394,        0.1564096920,        6.0824846988,       13.5273724414
      645.2006924439,      213.2047355868,       12.8948022236,        2.3420316804,    0.1802057800E+02,                 NaN,        2.2533277867,        6.7533214002,        1.9129220315,        0.1562372705,        6.0641754668,       14.6555993274
      662.7958084561,      224.9460590766,       12.8544901253,        2.3596242700,    0.1649722371E+02,                 NaN,        2.2601669888,        6.7451689453,        1.9238711260,        0.1562087764,        6.0457388449,       16.0364614633
      680.8707567299,      237.1319748157,       12.8128080178,        2.3757592725,    0.1504853633E+02,                 NaN,        2.2668226542,        6.7348560961,        1.9347312337,        0.1563100091,        6.0272862154,       17.7286519303
      699.4386226579,      249.7831012279,       12.7700861980,        2.3905120153,    0.1380542190E+02,                 NaN,        2.2736027278,        6.7247081759,        1.9455162387,        0.1565273784,        6.0088477109,       19.8606369425
      718.5128484813,      262.9023221304,       12.7266017062,        2.4039338729,    0.1272947180E+02,                 NaN,        2.2804575890,        6.7152882878,        1.9562284329,        0.1568489245,        5.9905176963,       22.5466373227
      738.1072430214,      276.5063864370,       12.6821807785,        2.4160915389,    0.1173688913E+02,                 NaN,        2.2872964808,        6.7050840320,        1.9668804672,        0.1572637921,        5.9723448423,       26.0220709249
      758.2359916766,      290.6096860706,       12.6367840285,        2.4270454809,    0.1087665217E+02,                 NaN,        2.2942479011,        6.6953499212,        1.9774794771,        0.1577616854,        5.9543686541,       30.5930779189
      778.9136666922,      305.2185226263,       12.5909333159,        2.4368485184,    0.1012569481E+02,                 NaN,        2.3012925570,        6.6863250320,        1.9880295928,        0.1583333938,        5.9366520238,       36.7795406296
      800.1552377094,      320.3459869678,       12.5446122014,        2.4455573857,    0.9425706411E+01,                 NaN,        2.3083410034,        6.6767612805,        1.9985363673,        0.1589699266,        5.9192269043,       45.4348180799
      821.9760826033,      336.0031359109,       12.4977043460,        2.4532261969,    0.8782140831E+01,                 NaN,        2.3154091691,        6.6668058911,        2.0090043353,        0.1596633982,        5.9021258599,       58.0622535665
      844.3919986152,      352.2081176824,       12.4504053283,        2.4599095861,    0.8235114599E+01,                 NaN,        2.3226583018,        6.6581783966,        2.0194432640,        0.1604065014,        5.8853770169,       77.5720723046
      867.4192137893,      368.9687837657,       12.4027363032,        2.4656557061,    0.7742616051E+01,                 NaN,        2.3299797898,        6.6499787793,        2.0298541507,        0.1611924550,        5.8690162842,      110.0042795727
      891.0743987210,      386.3053403650,       12.3547824206,        2.4705153483,    0.7288130148E+01,                 NaN,        2.3373309555,        6.6415624062,        2.0402433445,        0.1620141588,        5.8530300284,      169.9935056368
      915.3746786255,      404.2313202121,       12.3066113931,        2.4745343637,    0.6868193735E+01,                 NaN,        2.3447508992,        6.6334377927,        2.0506168456,        0.1628666137,        5.8374748058,      301.4971109234
      940.3376457358,      422.7580368530,       12.2582418642,        2.4777565585,    0.6482526216E+01,                 NaN,        2.3522306034,        6.6253446314,        2.0609744402,        0.1637432879,        5.8223412575,      688.4454600786
      965.9813720385,      441.9013891737,       12.2098615933,        2.4802249174,    0.6147653893E+01,                 NaN,        2.3598516020,        6.6183348841,        2.0713224899,        0.1646398127,        5.8076641086,     3039.3248951262
      992.3244223571,      461.6776447910,       12.1612435642,        2.4819805292,    0.5848399952E+01,                 NaN,        2.3675632027,        6.6117708494,        2.0816619336,        0.1655505167,        5.7971475359,                 NaN
     1019.3858677919,      482.1042058054,       12.1128313475,        2.4830624281,    0.5560974601E+01,                 NaN,        2.3753003283,        6.6051956810,        2.0919965627,        0.1664712487,        5.7796594020,     2243.9966278371
     1047.1852995269,      503.1940525612,       12.0641314294,        2.4835077440,    0.5282838001E+01,                 NaN,        2.3830545768,        6.5983688767,        2.1023300161,        0.1673982064,        5.7663741785,      573.6620905364
