ε_c [MeV/fm^3],p_c [MeV/fm^3],R [KM],M [M_sun],Λ,g-cowl [kHz],f-cowl [kHz],p1-cowl [kHz],f-GR [kHz],τ_f [s],p1-GR [kHz],τ_p1 [s]
      321.3002141754,       23.7865829797,       12.5773860703,        0.8745803054,    0.6488900694E+04,                 NaN,        1.9813935516,        5.3809380287,        1.5144937132,        0.5490342785,        5.0314939582,       11.2035784231
      328.4391656645,       25.3049529996,       12.5689293141,        0.9038554431,    0.5455226677E+04,                 NaN,        1.9978266642,        5.4520419103,        1.5304651252,        0.5139567017,        5.0885073814,       10.4392294218
      335.7367371174,       26.9489946920,       12.5600000000,        0.9342713816,    0.4574961897E+04,                 NaN,        2.0144809004,        5.5195605542,        1.5468398635,        0.4811534984,        5.1445064610,        9.7776204685
      343.1964529024,       28.5453122026,       12.5534884819,        0.9625157082,    0.3899685320E+04,                 NaN,        2.0295842238,        5.5787056187,        1.5618610566,        0.4536000518,        5.1939178800,        9.2014117229
      350.8219156951,       30.2313072792,       12.5459588997,        0.9909598581,    0.3329704039E+04,                 NaN,        2.0444828570,        5.6359467029,        1.5768710336,        0.4283138963,        5.2415279299,        8.6983971634
      358.6168082192,       31.9991127673,       12.5391204859,        1.0194395878,    0.2851364570E+04,                 NaN,        2.0591554063,        5.6898927662,        1.5918015709,        0.4051867830,        5.2871713542,        8.2186718813
      366.5848950243,       33.8272631492,       12.5317684515,        1.0474510298,    0.2453790167E+04,                 NaN,        2.0733466496,        5.7412817355,        1.6064330221,        0.3843291635,        5.3303176086,        7.7885726906
      374.7300243044,       36.0403215588,       12.5229143942,        1.0797293418,    0.2070004690E+04,                 NaN,        2.0894608579,        5.7976699818,        1.6232394631,        0.3623637031,        5.3779759322,        7.3315646747
      383.0561297565,       38.5264334448,       12.5133363003,        1.1144146431,    0.1729739802E+04,                 NaN,        2.1063821302,        5.8554995771,        1.6411231377,        0.3410077215,        5.4266071847,        6.8916917631
      391.5672324800,       41.1384650338,       12.5032061519,        1.1491789010,    0.1450238509E+04,                 NaN,        2.1229359193,        5.9110434308,        1.6588161488,        0.3216853372,        5.4728131220,        6.5064674255
      400.2674429189,       43.9161314500,       12.4927531736,        1.1843861948,    0.1217046249E+04,                 NaN,        2.1392713548,        5.9647179012,        1.6764949044,        0.3039929236,        5.5172675133,        6.1586120411
      409.1609628470,       46.8715890914,       12.4828745669,        1.2200053706,    0.1023052828E+04,                 NaN,        2.1554278904,        6.0156138123,        1.6941399922,        0.2877915406,        5.5600800941,        5.8503450385
      418.2520873969,       50.0106857733,       12.4714292523,        1.2559186552,    0.8606139234E+03,                 NaN,        2.1712477361,        6.0658467539,        1.7116984810,        0.2729856231,        5.6013055140,        5.5744292177
      427.5452071348,       53.3290106396,       12.4605676283,        1.2918946493,    0.7260676589E+03,                 NaN,        2.1867363444,        6.1136532766,        1.7290714641,        0.2595190616,        5.6408693701,        5.3335432541
      437.0448101803,       56.9953939261,       12.4478969235,        1.3295068202,    0.6095318480E+03,                 NaN,        2.2025427936,        6.1614480586,        1.7470172340,        0.2467390226,        5.6805750615,        5.1089385087
      446.7554843747,       60.3545537489,       12.4367918861,        1.3620496245,    0.5245902785E+03,                 NaN,        2.2158520240,        6.2024499560,        1.7623914843,        0.2366370206,        5.7137370395,        4.9373185664
      493.6318796462,       60.3545537489,       12.4367945638,        1.3620487335,    0.5245922908E+03,                 NaN,        2.2158517020,        6.2024488888,                 NaN,                 NaN,        5.7137355694,                 NaN
      540.5082749177,       60.3545537490,       12.4366574692,        1.3620487335,    0.5245922658E+03,                 NaN,        2.2158516992,        6.2024489095,                 NaN,                 NaN,        5.7137405441,                 NaN
      556.7942164110,       79.7408809588,       12.2906130457,        1.4489269607,    0.3247325128E+03,        0.7593538900,        2.2770426323,        6.3718217701,        1.8365362139,        0.2059906213,        5.8712844956,        3.3120079766
